date,category,ad,loc,floor,age,rooms,gross,price
09-10-2024,Daire,Doğalgazlı Kombili Klimali Eşyalı 1+1,İzmir / Buca / Atatürk Mah.,2. Kat,5 Yaşında,1 + 1,58 m²,16.500
07-10-2024,Daire,Ava Emlak'Tan Şirinyer'De 3+1 145 M2 Asansörlü Geniş Daire,İzmir / Buca / Yiğitler Mah.,3. Kat,5 Yaşında,3 + 1,145 m²,29.000
11-10-2024,Daire,İnkılap Mah. Şirinyer İzban Yakını 2+1 Kiralık Daire,İzmir / Buca / İnkılap Mah.,1. Kat,6 Yaşında,2 + 1,95 m²,17.500
04-10-2024,Daire,İzmir Bucada Kiralık 2+1( Eşyalı İstenirse Öğrenciye Kiralanır),İzmir / Buca / Yıldız Mah.,3. Kat,23 Yaşında,2 + 1,100 m²,20.000
11-10-2024,Daire,Bucaparisa'Dan Tınaztepe Hastanesi Yanı D.Gaz. 2+1 Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,2. Kat,4 Yaşında,2 + 1,70 m²,15.000
10-10-2024,Daire,Arga' Dan Buca Yeşilbağlarda 2+1 D.Gazlı Kiralık Daire.,İzmir / Buca / Yeşilbağlar Mah.,3. Kat,25 Yaşında,2 + 1,100 m²,15.000
11-10-2024,Daire,İ.B.F Yürüme Mesafesi 2+1 Sıfır Eşyalı 80m² Kiralık Daire,İzmir / Buca / Yaylacık Mah.,Bahçe Katı,10 Yaşında,2 + 1,85 m²,22.000
11-10-2024,Daire,Ünüvar Emlak'Tan Buca'Da 2+1 Doğalgazlı Kiralık Daire...,İzmir / Buca / Akıncılar Mah.,3. Kat,7 Yaşında,2 + 1,85 m²,22.000
11-10-2024,Daire,Nurfen'Den Üniversite Yanı Eşyalı 1+1 Önü Açık Kiralık Daire,İzmir / Buca / Adatepe Mah.,2. Kat,11 Yaşında,1 + 1,45 m²,15.000
11-10-2024,Daire,İzmir Buca Mustafa Kemal Mahallesin' De Kiralık 3+1 Daire,İzmir / Buca / Mustafa Kemal Mah.,2. Kat,8 Yaşında,3 + 1,128 m²,22.000
11-10-2024,Daire,Doğalgazlı 3+1kiralık Daire,İzmir / Buca / Menderes Mah.,4. Kat,25 Yaşında,3 + 1,140 m²,20.000
11-10-2024,Daire,Buca-M.Kemal Mh.De Kiralık Daire,İzmir / Buca / Mustafa Kemal Mah.,2. Kat,25 Yaşında,2 + 1,100 m²,14.000
09-10-2024,Daire,Eşyalı-Buca Hasanağa -1 Oda 1 Salon Açık Mutfaklı,İzmir / Buca / Dumlupınar Mah.,2. Kat,11 Yaşında,1 + 1,60 m²,19.500
11-10-2024,Daire,Akıncılar Seyhan Mahallesinde 2+1 Bakımlı Doğalgazlı Daire,İzmir / Buca / Seyhan Mah.,Ara Kat,34 Yaşında,2 + 0,100 m²,16.000
07-10-2024,Daire,Şirinyer İzbana Yakın 1+1,İzmir / Buca / Laleli Mah.,En Üst Kat,5 Yaşında,2 + 1,42 m²,12.000
