category,room,floor,gross,updated,price,location
Daire,2+1,2. Kat,114 m²,9 Ekim,28.000 TL,İzmir - Çiğli - Yakakent Mh.
Daire,1+1,7. Kat,55 m²,9 Ekim,18.000 TL,İzmir - Karşıyaka - İnönü Mh.
Daire,2+1,19. Kat,115 m²,9 Ekim,50.000 TL,İzmir - Konak - Halkapınar Mh.
Müstakil Ev,3+1,,140 m²,9 Ekim,45.000 TL,İzmir - Foça - Atatürk Mh.
Bina,3+1,,125 m²,9 Ekim,19.000 TL,İzmir - Menemen - Gazi Mh.
Daire,3+1,3. Kat,142 m²,9 Ekim,30.000 TL,İzmir - Karşıyaka - Yalı Mh.
Daire,3+1,2. Kat,110 m²,9 Ekim,28.000 TL,İzmir - Karşıyaka - Donanmacı Mh.
Daire,3+1,Düz Giriş (Zemin),160 m²,9 Ekim,25.000 TL,İzmir - Buca - Kozağaç Mh.
Daire,3+1,7. Kat,140 m²,9 Ekim,35.000 TL,İzmir - Karşıyaka - Örnekköy Mh.
Daire,3+1,2. Kat,110 m²,9 Ekim,30.000 TL,İzmir - Bornova - Erzene Mh.
Daire,3+2,2. Kat,105 m²,9 Ekim,23.000 TL,İzmir - Dikili - Çandarlı Mh.
Daire,3+1,5. Kat,125 m²,9 Ekim,20.000 TL,İzmir - Dikili - İsmetpaşa Mh.
Müstakil Ev,2+1,,100 m²,9 Ekim,20.000 TL,İzmir - Dikili - Bademli Mh.
Villa,3+1,,185 m²,9 Ekim,50.000 TL,İzmir - Dikili - Çandarlı Mh.
Daire,3+1,Çatı katı,125 m²,9 Ekim,33.000 TL,İzmir - Dikili - İsmetpaşa Mh.
Daire,2+1,2. Kat,100 m²,9 Ekim,21.000 TL,İzmir - Dikili - Gazipaşa Mh.
Daire,3+1,2. Kat,130 m²,9 Ekim,22.000 TL,İzmir - Dikili - Gazipaşa Mh.
Villa,3+1,,450 m²,9 Ekim,350.000 TL,İzmir - Çeşme - Çiftlik Mh.
Daire,3+1,Bahçe dublex,120 m²,8 Ekim,55.000 TL,İzmir - Aliağa - Yalı Mh.
Daire,3+1,3. Kat,145 m²,8 Ekim,46.000 TL,İzmir - Karşıyaka - Bostanlı Mh.
Daire,3+1,2. Kat,140 m²,8 Ekim,35.000 TL,İzmir - Buca - Fırat Mh.
Daire,1 Oda,3. Kat,50 m²,7 Ekim,15.000 TL,İzmir - Menemen - Gazi Mustafa Kemal Mh.
Daire,2+1,1. Kat,100 m²,6 Ekim,20.000 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,8. Kat,145 m²,9 Ekim,37.000 TL,İzmir - Konak - Alsancak Mh.
Daire,1+1,3. Kat,75 m²,9 Ekim,18.000 TL,İzmir - Buca - Atatürk Mh.
Daire,3+1,3. Kat,150 m²,9 Ekim,11.500 TL,İzmir - Gaziemir - Aktepe Mh.
Daire,3+1,3. Kat,135 m²,9 Ekim,25.000 TL,İzmir - Karabağlar - Doğanay Mh.
Daire,3+1,1. Kat,150 m²,5 Ekim,21.000 TL,İzmir - Bayraklı - Postacılar Mh.
Daire,2+1,2. Kat,100 m²,5 Ekim,12.000 TL,İzmir - Bayraklı - Muhittin Erener Mh.
Daire,3+1,Düz Giriş (Zemin),120 m²,5 Ekim,15.000 TL,İzmir - Bayraklı - Çay Mh.
Daire,2+1,Çatı katı,105 m²,5 Ekim,12.000 TL,İzmir - Buca - Çamlıpınar Mh.
Daire,4+1,2. Kat,240 m²,5 Ekim,75.000 TL,İzmir - Bornova - Erzene Mh.
Daire,2+1,Yüksek giriş,90 m²,7 Ekim,16.000 TL,İzmir - Bornova - Yıldırım Beyazıt Mh.
Daire,2+1,3. Kat,100 m²,5 Ekim,14.000 TL,İzmir - Karabağlar - Selvili Mh.
Daire,2+1,2. Kat,110 m²,5 Ekim,10.000 TL,İzmir - Karabağlar - Refet Bele Mh.
